id,score,scLivingspaceSqmPrice,scLotareaSqmPrice,scPurchasePrice,scPricetrend,scCondition,scFiring_type,yearConstructed,lotArea,livingSpace,condition,noRooms,purchasePrice,pricepersqmlivingspace,pricepersqmlotarea
190,0.75,1,1,0.95,0.54,1,0,2020,306,134,first_time_use,5.5,574900,4290.298507462687,1878.7581699346406
197,0.56,1,1,0.94,0.43,0,0,1890,579,200,no_information,7,780000,3900,1347.1502590673574
198,0.69,1,1,0.95,0.17,1,0,2020,339,137,first_time_use,5,649000,4737.226277372263,1914.4542772861357
199,0.52,1,1,0.89,0.22,0,0,1911,1312,281,no_information,10,1350000,4804.270462633452,1028.9634146341464
203,0.57,1,1,0.97,0.48,0,0,1982,907,120,no_information,4,327700,2730.8333333333335,361.3009922822492
204,0.55,1,1,0.98,0.33,0,0,1958,547,126,no_information,5,270000,2142.8571428571427,493.60146252285193
206,0.5,1,1,0.86,0.16,0,0,1967,109000,930,no_information,30,1695000,1822.5806451612902,15.55045871559633
208,0.75,1,1,0.95,0.52,1,0,2020,418,185,first_time_use,7,649500,3510.810810810811,1553.8277511961724
209,0.51,1,1,0.98,0.08,0,0,1960,525,200,need_of_renovation,8,260000,1300,495.23809523809524
210,0.67,1,1,0.96,0.44,0.6,0,1995,740,218,well_kept,6,440000,2018.348623853211,594.5945945945946
211,0.65,1,1,0.98,0.32,0.6,0,1928,976,150,well_kept,5,195000,1300,199.79508196721312
212,0.5,1,1,0.86,0.16,0,0,1969,109000,930,no_information,30,1695000,1822.5806451612902,15.55045871559633
214,0.57,1,1,0.98,0.41,0,0,1926,621,149,no_information,6,215000,1442.9530201342282,346.2157809983897
216,0.66,1,1,0.95,0.33,0.7,0,1966,675,190,modernized,4,549000,2875.098193244305,813.3333333333334
218,0.57,1,1,0.99,0.44,0,0,1936,544,95,need_of_renovation,3,170000,1789.4736842105262,312.5
219,0.68,1,1,0.97,0.42,0.7,0,1921,300,120,modernized,6,336000,2800,1120
220,0.53,1,0.99,0.89,0.28,0,0,1944,147,156,no_information,5,1279822,8203.98717948718,8706.272108843537
222,0.7,1,1,0.96,0.64,0.6,0,1974,599,150,well_kept,5,450000,2999.4001199760046,751.0765430450313
223,0.57,1,1,1,0.43,0,0,1828,3700,120,need_of_renovation,7,59900,499.1666666666667,16.18918918918919
224,0.7,1,1,0.96,0.64,0.6,0,1974,599,150,well_kept,5,500000,3332.444681418289,834.6966712296752
225,0.6,1,1,0.98,0.02,0.6,0,2016,420,100,well_kept,4,219000,2190,521.4285714285714
227,0.56,1,1,0.99,0.38,0,0,1955,1800,85,need_of_renovation,4,129800,1527.0588235294117,72.11111111111111
230,0.71,1,0.99,0.92,0.34,1,0,2019,190,129,first_time_use,5,952000,7379.84496124031,5010.526315789473
232,0.71,1,0.99,0.91,0.34,1,0,2019,280,120,first_time_use,5,1082300,9019.166666666666,3865.3571428571427
234,0.76,1,1,0.95,0.61,1,0,1993,243,139,first_time_use,5,599900,4298.201619259154,2468.724279835391
236,0.6,1,1,0.97,0.64,0,0,2020,570,110,no_information,4,356800,3243.6363636363635,625.9649122807018
237,0.6,1,1,0.98,0.61,0,0,1900,950,300,need_of_renovation,7,289000,963.3333333333334,304.2105263157895
238,0.56,1,1,0.97,0.4,0,0,1980,450,365,need_of_renovation,15,330000,904.1095890410959,733.3333333333334
240,0.6,1,1,0.99,0,0.6,0,1975,500,144,well_kept,8,165000,1145.8333333333333,330
242,0.55,1,1,0.97,0.36,0,0,2021,90,119,no_information,5,309900,2604.201680672269,3443.3333333333335
243,0.55,1,1,0.97,0.36,0,0,2021,95,119,no_information,5,314900,2646.218487394958,3314.7368421052633
244,0.55,1,1,0.97,0.36,0,0,2021,128,119,no_information,5,334900,2814.285714285714,2616.40625
245,0.55,1,1,0.97,0.36,0,0,2021,140,119,no_information,5,329900,2772.268907563025,2356.4285714285716
247,0.68,1,1,0.97,0.32,0.8,0,1870,650,195,fully_renovated,7,395000,2025.6410256410256,607.6923076923077
248,0.71,1,1,0.9299999999999999,0.52,0.8,0,1973,923,331,fully_renovated,5,820000,2477.3413897280966,888.4073672806068
249,0.53,1,1,0.97,0.21,0,0,1995,613,151,no_information,3,310000,2052.980132450331,505.7096247960848
250,0.58,1,1,0.98,0.47,0,0,2007,258,118,no_information,4,285000,2415.2542372881358,1104.6511627906978
251,0.57,1,1,0.99,0.42,0,0,1907,995,301,no_information,10,155000,514.9501661129568,155.7788944723618
252,0.59,1,1,0.99,0.52,0,0,1911,284,145,no_information,6,100000,689.6551724137931,352.11267605633805
253,0.57,1,1,1,0.39,0,0,1900,375,168,no_information,5,50000,297.6190476190476,133.33333333333334
