ags,breitbandversorgung50MbitsProzent,breitbandversorgung100MbitsProzent,breitbandversorgung1000MbitsProzent
01057011,75.93,75.93,75.93
01057012,92.98,74.27,0.0
01057013,96.92,96.92,96.92
01057015,97.41,96.37,96.11
01057016,87.8,68.19,1.31
01057017,94.55,91.82,90.91
01057018,4.69,1.56,1.56
01057020,97.44,93.59,0.0
01057021,92.58,92.58,92.36
01057022,86.19,84.05,83.57
01057023,98.96,98.96,98.96
01057024,89.11,88.12,88.12
01057025,98.27,94.78,81.12
01057026,96.73,96.26,95.79
01057027,89.53,87.21,86.63
01057028,81.46,65.73,0.0
01057029,61.53,49.73,48.93
01057030,98.08,96.03,90.14
01057031,90.68,90.06,90.06
01057032,92.02,90.34,89.5
01057033,99.04,99.04,97.44
01057034,80.95,80.95,80.95
01057035,94.46,94.12,94.12
01057037,98.28,98.28,94.83
01057038,85.29,85.29,85.29
01057039,45.3,40.61,1.1
01057040,96.65,92.74,0.56
01057041,79.64,67.66,0.0
01057042,92.43,92.03,92.03
01057043,99.48,99.08,90.52
01057044,95.76,95.76,92.37
01057045,96.14,95.75,95.37
01057046,96.99,96.81,96.63
01057047,98.37,95.12,95.12
01057048,99.22,97.67,93.9
01057049,2.0,0.0,0.0
01057050,94.06,91.58,91.34
01057051,98.93,97.98,92.88
01057052,94.02,94.02,93.23
01057053,85.8,85.21,84.02
01057054,98.2,98.2,98.2
01057055,93.19,87.59,83.51
01057056,94.81,0.74,0.74
01057057,98.75,97.27,87.71
01057058,95.85,91.24,89.86
01057059,93.71,93.14,92.0
01057060,7.06,4.71,0.0
01057062,96.44,88.33,56.24
01057063,96.03,88.41,21.14
01057065,90.48,90.48,90.48
01057066,94.43,94.13,94.13
01057067,96.65,93.78,91.87
01057068,84.54,83.55,83.55
01057069,24.02,21.15,20.1
01057070,85.95,62.03,25.59
01057071,80.46,76.35,75.32
01057072,94.54,92.44,91.6
01057073,63.43,55.41,0.06
01057074,91.23,87.43,78.12
01057076,96.3,96.3,96.3
01057077,98.27,97.96,97.65
01057078,3.5,1.0,1.0
01057079,74.06,53.48,0.0
01057080,81.75,78.18,75.85
01057081,6.52,5.07,5.07
01057082,94.61,93.41,91.62
01057083,96.67,94.0,91.33
