baseRent,livingSpace,noRooms,condition,interiorQual,lift,typeOfFlat,telekomUploadSpeed,floor,garden,heatingType,yearConstructed,lon,lat
1048.4,56.67,2,2,3.0,1,2.0,40.0,6,0,2,2018,11.5090984,48.0959539
1400.0,100.51,2,6,4.0,0,3.0,40.0,4,0,2,1890,8.691529722731907,50.12722115
750.0,77.0,3,1,2.0,0,2.0,40.0,1,0,2,1981,9.273966963842058,47.6971396
460.0,38.48,1,3,2.414155260346322,1,2.0,40.0,4,0,2,1976,8.2690103,48.9324304
449.0,60.0,2,3,3.0,0,2.0,40.0,3,1,2,1908,12.308061,51.2730292
990.0,75.5,3,1,3.0,0,2.0,40.0,1,0,2,1960,9.25453585,48.80929495
1250.0,195.0,5,6,2.0,0,2.0,40.0,1,0,2,2008,10.6269659,53.8953826
460.0,50.0,2,7,2.0,0,1.0,2.4,0,0,2,1930,6.872131388324087,50.86558585
479.0,84.0,4,5,3.0,0,2.0,40.0,1,0,2,1920,12.0767473,50.8702882
850.0,85.0,2,3,3.0,0,2.0,40.0,0,0,7,1910,8.510600252566693,49.5105543
275.0,50.47,1,1,2.0,1,2.5008447819779844,10.0,2,0,4,1985,7.0304186,51.3327321
330.0,58.12,2,1,2.414155260346322,0,2.0,40.0,2,0,4,1993,11.0710093,50.769021
295.0,56.66,3,1,2.0,0,2.0,40.0,3,0,2,1965,11.232346148451576,52.02546235
1156.0,90.0,3,4,4.0,0,2.0,10.0,3,0,10,2007,6.859116809843411,51.23503645
1499.24,69.96,3,2,3.0,0,3.0,40.0,5,0,2,1899,13.4215628,52.5452356
399.0,76.7,3,4,3.0,0,6.0,40.0,0,0,2,1995,9.948278570455924,54.060780300000005
620.0,52.0,2,4,2.414155260346322,0,2.5008447819779844,40.0,2,0,2,2006,6.785537665345439,51.1934942
581.0,83.0,3,1,3.0,1,2.0,10.0,6,0,2,1974,7.077766707148754,51.4485667
320.0,45.0,2,7,2.0,0,9.0,40.0,0,0,2,2001,7.089860134902073,51.65773085
317.0,63.41,3,5,2.414155260346322,0,2.0,10.0,3,0,2,1958,12.107283242930553,50.8812046
1258.0,107.56,2,1,2.414155260346322,0,2.0,40.0,1,0,7,1989,10.064378147581126,53.64011755
600.0,55.0,2,1,2.0,1,2.0,10.0,3,0,2,1997,13.138135748631129,52.3758714
750.0,96.0,3,4,3.0,0,1.0,2.4,0,0,7,1995,7.050269532810092,51.092205750000005
309.0,47.83,2,7,2.0,0,2.0,40.0,1,0,10,1953,10.6159957,47.8862118
445.0,65.0,4,5,2.414155260346322,0,1.0,40.0,0,0,1,1954,7.742799850000001,49.44432945
270.0,53.73,2,6,2.414155260346322,0,2.0,2.4,3,0,2,1988,11.5749538,52.1488822
350.0,33.0,1,1,2.0,1,2.0,40.0,7,0,2,1971,7.472410225095311,51.508890050000005
462.0,65.92,3,6,2.0,0,2.0,40.0,1,0,10,1950,9.9537896,52.1611639
355.0,30.0,1,4,3.0,1,2.0,40.0,1,0,8,2014,8.2276482,53.1412287
595.0,66.7,2,5,3.0,0,2.0,40.0,1,0,2,1983,9.66768640142481,52.35461975
999.0,140.0,5,1,2.0,0,2.0,40.0,4,0,2,1871,12.361763687163869,51.34231405
585.0,87.0,3,5,3.0,0,2.0,40.0,1,1,4,2001,8.7994963,52.2321892
600.0,91.0,2,6,2.0,0,3.0,40.0,2,0,4,1929,6.275735,50.8169473
940.0,114.0,3,1,3.0,0,6.0,40.0,1,1,2,2000,7.2207294,50.853492
480.0,28.5,1,4,2.0,0,2.0,40.0,2,0,4,2017,10.041419780165548,53.56548375
385.0,70.0,2,1,2.0,0,2.0,2.4,2,1,2,1995,7.3843111,50.9150454
